,runID,module,name,value,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,unit
50,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[0],retransmissions,0.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
60,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[10],retransmissions,74.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
61,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[11],retransmissions,74.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
62,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[12],retransmissions,74.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
63,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[13],retransmissions,74.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
64,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[14],retransmissions,74.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
65,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[15],retransmissions,74.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
66,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[16],retransmissions,74.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
67,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[17],retransmissions,74.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
68,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[18],retransmissions,56.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
69,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[19],retransmissions,55.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
51,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[1],retransmissions,0.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
70,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[20],retransmissions,30.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
71,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[21],retransmissions,30.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
72,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[22],retransmissions,30.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
73,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[23],retransmissions,30.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
74,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[24],retransmissions,32.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
75,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[25],retransmissions,27.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
76,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[26],retransmissions,29.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
77,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[27],retransmissions,26.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
78,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[28],retransmissions,26.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
